,Unnamed: 0,user,location,tweet,favorite,cleaned_tweets
0,0,DKS_Arsenal,"Denver, CO",@RoysWinBigly @SportsWithDara Moron,0,Moron
1,1,AFC_Po,,@Arsenal congratulations❤️,0,congratulations
2,2,kalebzon,Abuja,@Arsenal What's Pepe Jr jersey number?,0,What s Pipe Jr jersey number
3,3,tarazona20141,España,"⚽️Final⚽️
@NorwichCityFC 0-1 @OfficialBHAFC 
@LCFC 3-0 @CPFC 
@ManUtd 5-2 @afcbournemouth 
@Wolves 0-2 @Arsenal… https://t.co/f20hboFFBy",0,Final
4,4,edeemann,"Lagos, Nigeria",@itykay @Arsenal Pretend like you didn’t see were I congratulated him,0,Pretend like you didn’t see were I congratulated him
5,5,ryanafc26,"England, United Kingdom","@Harj_Ajimal @RFFH Here you go bum, very common. Stop even obsesseing how arsenal pay for transfers, tragic fanbase… https://t.co/LHSRxLvwwC",0,Animal Here you go bum very common Stop even obsessing how arsenal pay for transfers tragic fanbase…
6,6,SoundlessTis,Abuja nigeria,@YC7__ @Arsenal We love you too,0,We love you too
7,7,azrxthx,in my handmade heaven,Doubt he’d be interested in Napoli :/ or Arsenal as a matter of fact 😹 https://t.co/zTTCCoCiNB,0,Doubt he’d be interested in Napoli or Arsenal as a matter of fact 
8,8,stephen_funso,Nigeria,Congrats Pepe https://t.co/M0P8gPBZM4,0,Congrats Pipe
9,9,ArmstrongJego,"Brooklyn, NY",@ltarsenal Stop it. Just stop. How many trophies have we won? How many top 4 finishes have there been since he arri… https://t.co/XiAUNRPNTP,0,Stop it Just stop How many trophies have we won How many top finishes have there been since he arri…
10,10,Nymdok,State of Contemplation,"I enjoy soccer/futbol, But there are way to many red teams.
Arsenal, ManchesterU, LIverpool and Bayern Munchen. https://t.co/GyF4yfwyDP",0,I enjoy soccer futbol But there are way to many red teams Arsenal Manchester Liverpool and Bayer Munched
11,11,davie_mativo,"Nairobi, Kenya",@ftblChrisTHFC @Arsenal Nincompoop!,0,Nincompoop
12,12,1013Mbk,Islamabad,@TheFergusonCode @SabeehaMajid When did Arsenal start playing the Premier League?,0,When did Arsenal start playing the Premier League
13,13,zim_football, Zimbabwe/UK&SA,"Marvelous Nakamba was an unsed sub  as Aston Villa lost 0-2 to Liverpool 

can #astonvilla stay up?

 Next fixtures… https://t.co/Gtm65Apyy8",0,Marvelous Nakamba was an used sub as Baston Villa lost to Liverpool can stay up Next fixtures…
14,14,AfcAdi,Hindurastra ,Xhaka fans ironically saying Lacazatte signing is the black day for Arsenal club with a straight face. https://t.co/YQKVh6vRIt,4,Haka fans ironically saying Lacazatte signing is the black day for Arsenal club with a straight face
15,15,HaqRasheda,,@OliverRMills Or literally just ask - the most powerful tool in a teacher's arsenal is admitting when you need help. Model what you preach,0,Or literally just ask the most powerful tool in a teacher s arsenal is admitting when you need help Morel what you preach
16,16,richardbrown31,"England, United Kingdom",@nikospolydorou @Arsenal Bet you're great fun at party's,0,Met you re great fun at party s
17,17,GoonerBrian321,"Melbourne, FL",@Arsenal That’s awesome! Congratulations Nico!,0,That’s awesome Congratulations Nice
18,18,nate_noodle,,i've been using the janitor skin in arsenal a lot idk why lol #robloxart https://t.co/C6b4A4ULDO,2,i ve been using the janitor skin in arsenal a lot ink why low
19,19,AmosKasibante,,@DavidLumansi Y always Arsenal 🙉🙉🏃,0,Y always Arsenal 
20,20,golden_boyy1,United Kingdom 🇬🇧,@GeneraIAbz Loool why you cappin? Is this how much arsenal fans trigger you lot 😂 you man just won a game and you’r… https://t.co/lNZ7QsCBPg,0,Loool why you cuppin Is this how much arsenal fans trigger you lot  you man just won a game and you’r…
21,21,emmanuel_cfc,,Wish I wouldn't say so but arsenal wins or draws and Aston villa manage to get something out of united a draw at le… https://t.co/Sm00yS1ybL,0,Wish I wouldn t say so but arsenal wins or draws and Baston villa manage to get something out of united a draw at le…
22,22,masixole_n,"Randburg, South Africa","Laca's first touch was on point for the 2nd goal was class, made it look too easy https://t.co/7WYjz8QNzU",0,Lack s first touch was on point for the nd goal was class made it look too easy
23,23,KabeloMashwe,"Pretoria, South Africa",@curtisshaw9 @Arsenal I would like Doucouré,0,I would like Douceuré
24,24,GavinG1805,"Omagh, Northern Ireland",@Arsenal_212 @jillduddy24 I'm looking now,0,I m looking now
25,25,arsenal_mo,,@HajimeNoHamza Zoro will body your favorite and is the strongest how about that,0,Zero will body your favorite and is the strongest how about that
26,26,Arsenalfanblog,,@Pulisicszn4 @PastorFreddo @afcjxmes @arsenadam Isn’t it time for high school yet? Clubs like Arsenal have true his… https://t.co/5YBX6VieNh,0,Isn’t it time for high school yet Clubs like Arsenal have true his…
27,27,NatinelIi,19,@YC7__ Sign for the arsenal womens team n ill rep you 👀,0,Sign for the arsenal women team n ill rep you 
28,28,young_xon,over|the|🌒|Ibadan,@EduardoHagn @Arsenal You read it wrong bro,0,You read it wrong bro
29,29,ottermeal_media,,"doing ARs takes so much out of me 😪 i put my entire arsenal (hands, tools, patience, soul) into them and i really h… https://t.co/ZncooHNErC",0,doing As takes so much out of me  i put my entire arsenal hands tools patience soul into them and i really h…
30,30,joshiano3,,@Arsenal The team is improving so..every one is buying into Arteta ideas..the trend will continue this week..Auba is signing Da ting..,0,The team is improving so every one is buying into Artema ideas the trend will continue this week Alba is signing Da ting
31,31,roscoe_2000,"North West, England","@Nickpool1 @Corballyred I personally think we've got exactly what we bought. Poor, injured, fantastic, game changer… https://t.co/g7Q218I96L",0,I personally think we ve got exactly what we bought Poor injured fantastic game changer…
32,32,genious_lazy,,"@AFCAbiyu After working so hard to make a name for himself in a mediocre team, you now want him to join Arsenal? Di… https://t.co/tCXH2tUbAu",0,After working so hard to make a name for himself in a mediocre team you now want him to join Arsenal Di…
33,33,Short_Vic,,just checked the next fixtures... all i can say is Arsenal has a very high chance of finishing 5th. if they win most of them,0,just checked the next fixtures all i can say is Arsenal has a very high chance of finishing th if they win most of them
34,34,FIndexInsight,"London, England",@Indexinho1 I said their prices would get closer. This was tweeted in January and Martinelli only got injured two w… https://t.co/5fj641svNp,0,I said their prices would get closer This was tweeted in January and Martinelli only got injured two w…
35,35,miguelrios__,London & Europe,Did anyone notice Mikel Arteta shouting instructions constantly to Dani Ceballos during the Arsenal v Wolves match yesterday?,0,Did anyone notice Mike Artema shouting instructions constantly to Dans Caballos during the Arsenal v Wolves match yesterday
36,36,GallardoIzMe,earth,@NkosikhonaNdlel @goal remember you're in an abusive relationship with arsenal 😊,0,remember you re in an abusive relationship with arsenal 
37,37,MartinaQ12,,Class player with a class attitude delighted he has a new contract Arsenal ❤️ https://t.co/AXn46wbC5B,0,Class player with a class attitude delighted he has a new contract Arsenal 
38,38,purelyarsenalFP,,@anthonypalm @LLcoolJames91 @Jack10Gooner @Neilby70 @ArsenesGlasses_ @Arsenal @m8arteta @FTR_Pod Ty so much always!,0,Rod Ty so much always
39,39,Arsenal_212,UK,"@GavinG1805 @jillduddy24 3 big games left tonight 

Anychance of one more betbuilder 👀",1,big games left tonight Anychance of one more betbuilder 
40,40,BlaneyBofficial,London,@DaveOCKOP Fun fact ... Liverpool would be 2 pts above arsenal if only Liverpool’s home games counted this season… https://t.co/BoeiAZpjkD,0,Run fact Liverpool would be pts above arsenal if only Liverpool’s home games counted this season…
41,41,BrightWallan,"Lagos, Nigeria",@YC7__ @Arsenal It will end in years💯😒😒😒,0,It will end in years
42,42,ilkerkanda7777,"embakasi,Nairobi",@Arsenal Congratulations pepe,0,Congratulations pipe
43,43,KingDipper10,Planet Earth,@ayinla_mayowa1 @goal You too try to assimilate what I said cause I don’t remember putting in the words “better tha… https://t.co/tKINDoHir8,0,mayowa You too try to assimilate what I said cause I don’t remember putting in the words “better tha…
44,44,tomrobbo89,"Norwich, England","@ModernLepra @MiguelDelaney Talent wise he's good enough for a top 6 side, maybe not a title challenging side. More… https://t.co/xAjR64OdIP",0,Talent wise he s good enough for a top side maybe not a title challenging side More…
45,45,Carlito_777,Puerto Rico,It's imperative that we extend Aubameyang's contract to help develop our academy youths and also he can attract goo… https://t.co/k54o9ii3oj,1,It s imperative that we extend Aubameyang s contract to help develop our academy youths and also he can attract goo…
46,46,Matt45030408,,Ox has a patch of bad form and Arsenal fans pipe up like he wouldn't walk into their mid table side 🤷‍♂️,0,Ox has a patch of bad form and Arsenal fans pipe up like he wouldn t walk into their mid table side 🤷‍
47,47,jennjaypal,New York,"No matter the event, my go-to advice is to have phrases or topics to say or pivot to beforehand so you’re prepared.… https://t.co/hnVg3UE0dw",1,No matter the event my go to advice is to have phrases or topics to say or pivot to beforehand so you’re prepared …
48,48,Jemidelaju,,@Victorye_ Arsenal fan leave him😂,0,Arsenal fan leave him
49,49,gunnerstuff,,Arsenal are heavily interested in Allan Saint-Maximin. They have been in contact with the players camp. [le10sport],2,Arsenal are heavily interested in Allan Saint Maximin They have been in contact with the players camp besport
50,50,fadojuadebowale,Lagos,What a beautiful week https://t.co/AarmbKYEK3,0,What a beautiful week
51,51,Green86Jd,JohnGreen,Watford have Man City and arsenal last two games. If we’re around the same points as them by then. I believe we sta… https://t.co/lQsKnO9APK,0,Watford have Man City and arsenal last two games If we’re around the same points as them by then I believe we sta…
52,52,isobaII,manchester/baghdad,Arsenal fans when they were celebrating Pepe having more goal contributions than Daniel James type beat 😭😭😭😭😭😭 https://t.co/JyJ1avEPnB,0,Arsenal fans when they were celebrating Pipe having more goal contributions than Daniel James type beat 
53,53,TheUnagi_,"Lagos, Nigeria",*Arsenal https://t.co/Cdgv9S9Ipq,0,Arsenal
54,54,UtdRob_,,@YC7__ Could probably start for arsenal tbf,1,Could probably start for arsenal trf
55,55,FrancisMwesigy1,,@AnkoleSon @faithkwizera2 @BamurebeP @Arsenal @Atuhairecarol10 @ForeverVishan @aaubry256 @Arnoldtugumegm1… https://t.co/c7rzqFqvWy,0,
56,56,Silvio_2615,,"@fasasisanchez @victorosimhen9 Like arsenal defense...oh, nothing is more scary than arsenal defense",0,Like arsenal defense oh nothing is more scary than arsenal defense
57,57,thfcrueben,‘20,"You either rate Lo Celso or you haven’t watched him, he’s unreal, would walk into Arsenal’s team and would be your… https://t.co/2d0PAaFIWW",12,You either rate Lo Cels or you haven’t watched him he’s unreal would walk into Arsenal’s team and would be your…
58,58,tidal_league,"Halifax, Nova Scotia",@Arsenal Congrats! 🙌💯,0,Congrats 
59,59,Young18Yummy,,@M4NCH3STERISRED @Reemzestilo Remember him giving Rasford the cross for his header against Arsenal,0,Remember him giving Radford the cross for his header against Arsenal
60,60,ham44_orrell,Horsham,@Arsenalfan401 @F1 Lewis is an arsenal fan. What were you saying?,0,Lewis is an arsenal fan What were you saying
61,61,Abdul_Habib9,,@jkaffs @PeterAdeniyi7 @Arsenal You do remember that you have Man City in semis right....,0,You do remember that you have Man City in semis right
62,62,Smyiler,,"@talkSPORT 1979 FA cup final, Arsenal vs. Man Utd.",0,Ff cup final Arsenal vs Man Ut
63,63,itykay,Forever land,@edeemann @Arsenal You mean he doesn’t deserve to be a dad 🤔,0,You mean he doesn’t deserve to be a dad 🤔
64,64,satwetwe,Ghana,"@GainsOracle @Arsenal @premierleague @BukayoSaka87 Can't wait to see our activities,my worry is,are the Kroenkes re… https://t.co/XAXqnS2uCy",0,Can t wait to see our activities my worry is are the Kroenkes re…
65,65,OlusojiOlumuyi0,"Oyo, Ibadan, Nigeria",@Arsenal Good news from hospital,0,Good news from hospital
66,66,Not_Mthunzi,Malawi,@Pixie_MW @goal He should go to where? Arsenal??🤣🤣,0,MW He should go to where Arsenal 🤣🤣
67,67,AbuB105,"Liverpool, England","@LGAmbrose He didn't prefer playing on the wing in Arsenal. With him playing in midfield, you could see so much mor… https://t.co/W0Y9GsPT7R",0,He didn t prefer playing on the wing in Arsenal With him playing in midfield you could see so much mor…
68,68,DivaYnwa,,@LFC Have more wins than United and Arsenal combined #JustSaying,0,Have more wins than United and Arsenal combined
69,69,asemota_james,,@AFTVMedia Well i feel like he want to stay and play for the Club but Nobody knows it's both Arsenal &amp; Madrid...😤,0,Well i feel like he want to stay and play for the Club but Nobody knows it s both Arsenal amp Madrid 
70,70,kevinfalvey14,"Painesville, OH",@jsfalvey16 @Arsenal @Joel_McAndrew Love the energy he brings.,0,McAndrews Love the energy he brings
71,71,kristiesmewis,chase center,why are you friends with arsenal fans? — why wouldn’t i be?? as long as they can take the banter i’m here for any f… https://t.co/mFmjHzVDMi,0,why are you friends with arsenal fans — why wouldn’t i be as long as they can take the banter i’m here for any f…
72,72,KipametVasco,"Kajiado, Kenya",@Arsenal @premierleague @BukayoSaka87 Awesome 👍,0,Awesome 
73,73,OssDeux,afcprimms head,@CatenaccioEra He’s off to Arsenal I’m afraid,0,He’s off to Arsenal I’m afraid
