,tweet,pol_value,sentiment
1,"Moron
",0,neutral
3,"congratulations
",4.3039981361140605,positive
5,"What s Pipe Jr jersey number
",0.0,neutral
7,"Final
",0,neutral
9,"Pretend like you didn’t see were I congratulated him
",17.175028814175974,positive
11,"Animal Here you go bum very common Stop even obsessing how arsenal pay for transfers tragic fanbase…
",-63.049716616473894,negative
13,"We love you too
",4.3039981361140605,positive
15,"Doubt he’d be interested in Napoli or Arsenal as a matter of fact 
",9.776834825060545,positive
17,"Congrats Pipe
",4.134073134671748,positive
19,"Stop it Just stop How many trophies have we won How many top finishes have there been since he arri…
",40.35173910278347,positive
21,"I enjoy soccer futbol But there are way to many red teams Arsenal Manchester Liverpool and Bayer Munched
",11.005103812733664,positive
23,"Nincompoop
",0,neutral
25,"When did Arsenal start playing the Premier League
",7.215678849449361,positive
27,"Marvelous Nakamba was an used sub as Baston Villa lost to Liverpool can stay up Next fixtures…
",-49.60987223882046,negative
29,"Haka fans ironically saying Lacazatte signing is the black day for Arsenal club with a straight face
",13.911994408342181,positive
31,"Or literally just ask the most powerful tool in a teacher s arsenal is admitting when you need help Morel what you preach
",10.005103812733664,positive
33,"Met you re great fun at party s
",0.0,neutral
35,"That’s awesome Congratulations Nice
",10.607996272228121,positive
37,"i ve been using the janitor skin in arsenal a lot ink why low
",12.867600288983729,positive
39,"Y always Arsenal 
",0.0,neutral
41,"Loool why you cuppin Is this how much arsenal fans trigger you lot  you man just won a game and you’r…
",32.23902631596321,positive
43,"Wish I wouldn t say so but arsenal wins or draws and Baston villa manage to get something out of united a draw at le…
",18.102716032124274,positive
45,"Lack s first touch was on point for the nd goal was class made it look too easy
",49.64123766920241,positive
47,"I would like Douceuré
",0.0,neutral
49,"I m looking now
",0.0,neutral
51,"Zero will body your favorite and is the strongest how about that
",-28.383514493302627,negative
53,"Isn’t it time for high school yet Clubs like Arsenal have true his…
",-3.4612047255049267,negative
55,"Sign for the arsenal women team n ill rep you 
",4.3039981361140605,positive
57,"You read it wrong bro
",-13.162310402124529,negative
59,"doing As takes so much out of me  i put my entire arsenal hands tools patience soul into them and i really h…
",1.7690154844695867,positive
61,"The team is improving so every one is buying into Artema ideas the trend will continue this week Alba is signing Da ting
",64.02684152009408,positive
63,"I personally think we ve got exactly what we bought Poor injured fantastic game changer…
",0.0,neutral
65,"After working so hard to make a name for himself in a mediocre team you now want him to join Arsenal Di…
",10.023033771506965,positive
67,"just checked the next fixtures all i can say is Arsenal has a very high chance of finishing th if they win most of them
",36.52134235844286,positive
69,"I said their prices would get closer This was tweeted in January and Martinelli only got injured two w…
",6.215678849449361,positive
71,"Did anyone notice Mike Artema shouting instructions constantly to Dans Caballos during the Arsenal v Wolves match yesterday
",17.916784526068966,positive
73,"remember you re in an abusive relationship with arsenal 
",-7.742119248505946,negative
75,"Class player with a class attitude delighted he has a new contract Arsenal 
",19.91199440834218,positive
77,"Rod Ty so much always
",0.0,neutral
79,"big games left tonight Anychance of one more betbuilder 
",9.159613761789288,positive
81,"Run fact Liverpool would be pts above arsenal if only Liverpool’s home games counted this season…
",19.250757962616916,positive
83,"It will end in years
",-0.4381211123918849,negative
85,"Congratulations pipe
",4.3039981361140605,positive
87,"mayowa You too try to assimilate what I said cause I don’t remember putting in the words “better tha…
",8.438071270785809,positive
89,"Talent wise he s good enough for a top side maybe not a title challenging side More…
",45.981095722863074,positive
91,"It s imperative that we extend Aubameyang s contract to help develop our academy youths and also he can attract goo…
",21.291171990074425,positive
93,"Ox has a patch of bad form and Arsenal fans pipe up like he wouldn t walk into their mid table side 🤷‍
",-38.28279048959336,negative
