,tweets,sentiment
0,Moron,negative
1,congratulations,neutral
2,What s Pipe Jr jersey number,neutral
3,Final,neutral
4,Pretend like you didn’t see were I congratulated him,neutral
5,Animal Here you go bum very common Stop even obsessing how arsenal pay for transfers tragic fanbase…,negative
6,We love you too,positive
7,Doubt he’d be interested in Napoli or Arsenal as a matter of fact ,positive
8,Congrats Pipe,neutral
9,Stop it Just stop How many trophies have we won How many top finishes have there been since he arri…,positive
10,I enjoy soccer futbol But there are way to many red teams Arsenal Manchester Liverpool and Bayer Munched,positive
11,Nincompoop,neutral
12,When did Arsenal start playing the Premier League,neutral
13,Marvelous Nakamba was an used sub as Baston Villa lost to Liverpool can stay up Next fixtures…,positive
14,Haka fans ironically saying Lacazatte signing is the black day for Arsenal club with a straight face,positive
15,Or literally just ask the most powerful tool in a teacher s arsenal is admitting when you need help Morel what you preach,positive
16,Met you re great fun at party s,positive
17,That’s awesome Congratulations Nice,positive
18,i ve been using the janitor skin in arsenal a lot ink why low,neutral
19,Y always Arsenal ,neutral
20,Loool why you cuppin Is this how much arsenal fans trigger you lot  you man just won a game and you’r…,negative
21,Wish I wouldn t say so but arsenal wins or draws and Baston villa manage to get something out of united a draw at le…,positive
22,Lack s first touch was on point for the nd goal was class made it look too easy,positive
23,I would like Douceuré,neutral
24,I m looking now,neutral
25,Zero will body your favorite and is the strongest how about that,positive
26,Isn’t it time for high school yet Clubs like Arsenal have true his…,positive
27,Sign for the arsenal women team n ill rep you ,negative
28,You read it wrong bro,negative
29,doing As takes so much out of me  i put my entire arsenal hands tools patience soul into them and i really h…,positive
30,The team is improving so every one is buying into Artema ideas the trend will continue this week Alba is signing Da ting,neutral
31,I personally think we ve got exactly what we bought Poor injured fantastic game changer…,negative
32,After working so hard to make a name for himself in a mediocre team you now want him to join Arsenal Di…,negative
33,just checked the next fixtures all i can say is Arsenal has a very high chance of finishing th if they win most of them,positive
34,I said their prices would get closer This was tweeted in January and Martinelli only got injured two w…,neutral
35,Did anyone notice Mike Artema shouting instructions constantly to Dans Caballos during the Arsenal v Wolves match yesterday,neutral
36,remember you re in an abusive relationship with arsenal ,neutral
37,Class player with a class attitude delighted he has a new contract Arsenal ,positive
38,Rod Ty so much always,positive
39,big games left tonight Anychance of one more betbuilder ,positive
40,Run fact Liverpool would be pts above arsenal if only Liverpool’s home games counted this season…,neutral
41,It will end in years,neutral
42,Congratulations pipe,neutral
43,mayowa You too try to assimilate what I said cause I don’t remember putting in the words “better tha…,positive
44,Talent wise he s good enough for a top side maybe not a title challenging side More…,positive
45,It s imperative that we extend Aubameyang s contract to help develop our academy youths and also he can attract goo…,neutral
46,Ox has a patch of bad form and Arsenal fans pipe up like he wouldn t walk into their mid table side 🤷‍,negative
47,No matter the event my go to advice is to have phrases or topics to say or pivot to beforehand so you’re prepared …,neutral
48,Arsenal fan leave him,neutral
49,Arsenal are heavily interested in Allan Saint Maximin They have been in contact with the players camp besport,positive
50,What a beautiful week,positive
51,Watford have Man City and arsenal last two games If we’re around the same points as them by then I believe we sta…,neutral
52,Arsenal fans when they were celebrating Pipe having more goal contributions than Daniel James type beat ,positive
53,Arsenal,neutral
54,Could probably start for arsenal trf,neutral
55,,neutral
56,Like arsenal defense oh nothing is more scary than arsenal defense,neutral
57,You either rate Lo Cels or you haven’t watched him he’s unreal would walk into Arsenal’s team and would be your…,neutral
58,Congrats ,neutral
59,Remember him giving Radford the cross for his header against Arsenal,neutral
60,Lewis is an arsenal fan What were you saying,neutral
61,You do remember that you have Man City in semis right,positive
62,Ff cup final Arsenal vs Man Ut,neutral
63,You mean he doesn’t deserve to be a dad 🤔,negative
64,Can t wait to see our activities my worry is are the Kroenkes re…,neutral
65,Good news from hospital,positive
66,MW He should go to where Arsenal 🤣🤣,neutral
67,He didn t prefer playing on the wing in Arsenal With him playing in midfield you could see so much mor…,positive
68,Have more wins than United and Arsenal combined,positive
69,Well i feel like he want to stay and play for the Club but Nobody knows it s both Arsenal amp Madrid ,neutral
70,McAndrews Love the energy he brings,positive
71,why are you friends with arsenal fans — why wouldn’t i be as long as they can take the banter i’m here for any f…,negative
72,Awesome ,positive
73,He’s off to Arsenal I’m afraid,negative
74,Even Woolwich has an even smaller divide The Arsenal Complex amp Woolwich Town Centre It’s walled off …,negative
75,Get on this and do an Arsenal lad a favour,neutral
76,Arsenal hive undefeated ,neutral
77,Trained with the Arsenal training kit gt gt,neutral
78,Congratulations Nice,positive
79,In a space of a week Arsenal has had Sake score a goal Man Ut has had Greenwood score goals Man City has had Woden…,neutral
80,S HAPPY SUGAR RA DAY Clean house mile run and Arsenal win good vibes only,positive
81,Way better than shitclub ARSENAL,positive
82,Over green total commitment,negative
83,Traffic Why everyone saying Arsenal ,neutral
84,Why can t Arsenal take David Silva on a free tho I would take him without blinking twice Use him as a role model to Sake Willock SR,positive
85,I follow back,neutral
86,I already support Arsenal utu nimekuja straight to the winning team tu hakuna negotiation ,positive
87,Phenomena indeed🤫,neutral
88,James Rodriguez to Arsenal on still,neutral
89,Who should get I personally like Cartwell and or Greatish as possibly cheaper options to Caballos in midfield,neutral
90,Not an Arsenal player my g,neutral
91,This guy is very good need more playing time,positive
92,Arsenal has a chance of replacing Chelsea in the To than United based on remaining fixtures,neutral
93,Arsenal Cash in on him  He s not Arsenal s entity is he,neutral
94,Year I am still go to more Arsenal games than all you fanboys who live round the corner,positive
95,I’m going into hiding if both arsenal and saints finish above us Legit my worst nightmare  cheers,negative
96,Chelsea fans hail Ashler Cole a ’true blue’ after Arsenal ‘snub’ on To,positive
97,Looks like Stones played his last game for City Arsenal and Evertor rumoured to be interested,negative
98,there’s a hacker in this arsenal I forgot his username,neutral
99,You re not funny g,negative
100,I live pretty close to that place,positive
101,Loool only big game Lacazette has played in for Arsenal was the Europa League semi final in …,negative
102,arsenal riven mod boosts any stat on anything the possibilities are endless ply dont make it a thing k tax,positive
103,Give from Season continues We are unbeaten in all competitions could we have an Invincible Season Joy…,neutral
104,How you expect Arsenal to lose a Twitter poll ,neutral
105,A decent week to announce the deals,positive
106,Congratulations man🥂,neutral
107,Arsenal,neutral
108,Why is the British Media after this man though Focus on Arsenal and United,neutral
109,In a scale of where would you rank Bucayo Sake s performance at Arsenal this season,negative
110,Reminds me of the pinger scored against Arsenal in the demolition,neutral
111,Will Arsenal sign both Upamecano Party this summer,neutral
112,Congratulation to him ,neutral
