,tweets,neg_score,neu_score,pos_score,com_score,sentiment
0,Moron,1.0,0.0,0.0,-0.4939,negative
1,congratulations,0.0,0.0,1.0,0.5994,positive
2,What s Pipe Jr jersey number,0.0,0.794,0.206,0.0772,positive
3,Final,0.0,1.0,0.0,0.0,neutral
4,Pretend like you didn’t see were I congratulated him,0.128,0.642,0.229,0.2732,positive
5,Animal Here you go bum very common Stop even obsessing how arsenal pay for transfers tragic fanbase…,0.416,0.584,0.0,-0.8062,negative
6,We love you too,0.0,0.417,0.583,0.6369,positive
7,Doubt he’d be interested in Napoli or Arsenal as a matter of fact ,0.153,0.613,0.233,0.0772,positive
8,Congrats Pipe,0.0,0.227,0.773,0.5267,positive
9,Stop it Just stop How many trophies have we won How many top finishes have there been since he arri…,0.17,0.618,0.212,0.2732,positive
10,I enjoy soccer futbol But there are way to many red teams Arsenal Manchester Liverpool and Bayer Munched,0.0,0.89,0.11,0.2732,positive
11,Nincompoop,0.0,1.0,0.0,0.0,neutral
12,When did Arsenal start playing the Premier League,0.0,0.795,0.205,0.2023,positive
13,Marvelous Nakamba was an used sub as Baston Villa lost to Liverpool can stay up Next fixtures…,0.108,0.708,0.184,0.3818,positive
14,Haka fans ironically saying Lacazatte signing is the black day for Arsenal club with a straight face,0.0,0.894,0.106,0.2263,positive
15,Or literally just ask the most powerful tool in a teacher s arsenal is admitting when you need help Morel what you preach,0.0,0.784,0.216,0.6997,positive
16,Met you re great fun at party s,0.0,0.331,0.669,0.8779,positive
17,That’s awesome Congratulations Nice,0.0,0.085,0.915,0.8957,positive
18,i ve been using the janitor skin in arsenal a lot ink why low,0.139,0.861,0.0,-0.2732,negative
19,Y always Arsenal ,0.0,1.0,0.0,0.0,neutral
20,Loool why you cuppin Is this how much arsenal fans trigger you lot  you man just won a game and you’r…,0.0,0.844,0.156,0.5719,positive
21,Wish I wouldn t say so but arsenal wins or draws and Baston villa manage to get something out of united a draw at le…,0.0,0.667,0.333,0.9,positive
22,Lack s first touch was on point for the nd goal was class made it look too easy,0.108,0.755,0.137,0.1531,positive
23,I would like Douceuré,0.0,0.545,0.455,0.3612,positive
24,I m looking now,0.0,1.0,0.0,0.0,neutral
25,Zero will body your favorite and is the strongest how about that,0.0,0.629,0.371,0.7096,positive
26,Isn’t it time for high school yet Clubs like Arsenal have true his…,0.0,0.675,0.325,0.6486,positive
27,Sign for the arsenal women team n ill rep you ,0.237,0.763,0.0,-0.4215,negative
28,You read it wrong bro,0.437,0.563,0.0,-0.4767,negative
29,doing As takes so much out of me  i put my entire arsenal hands tools patience soul into them and i really h…,0.0,1.0,0.0,0.0,neutral
30,The team is improving so every one is buying into Artema ideas the trend will continue this week Alba is signing Da ting,0.0,0.887,0.113,0.4215,positive
31,I personally think we ve got exactly what we bought Poor injured fantastic game changer…,0.271,0.561,0.168,-0.296,negative
32,After working so hard to make a name for himself in a mediocre team you now want him to join Arsenal Di…,0.077,0.78,0.144,0.1615,positive
33,just checked the next fixtures all i can say is Arsenal has a very high chance of finishing th if they win most of them,0.0,0.791,0.209,0.7251,positive
34,I said their prices would get closer This was tweeted in January and Martinelli only got injured two w…,0.13,0.87,0.0,-0.4019,negative
35,Did anyone notice Mike Artema shouting instructions constantly to Dans Caballos during the Arsenal v Wolves match yesterday,0.0,1.0,0.0,0.0,neutral
36,remember you re in an abusive relationship with arsenal ,0.344,0.656,0.0,-0.6369,negative
