,raw_tweet,cleaned_tweet,tweet_words,tweet_words_scores,sentiment_score,bsentiment
0,@RoysWinBigly @SportsWithDara Moron,Moron,['Moron'],"[{'word': 'Moron', 'positive': '0', 'negative': '0'}]",0.0,neutral
1,@Arsenal congratulations❤️,congratulations,['congratulations'],"[{'word': 'congratulations', 'positive': '0', 'negative': '0'}]",0.0,neutral
2,@Arsenal What's Pepe Jr jersey number?,What s Pipe Jr jersey number,"['What', 's', 'Pipe', 'Jr', 'jersey', 'number']","[{'word': 'What', 'positive': '0', 'negative': '0'}, {'word': 's', 'positive': '0.0', 'negative': '0.0'}, {'word': 'Pipe', 'positive': '0', 'negative': '0'}, {'word': 'Jr', 'positive': '0', 'negative': '0'}, {'word': 'jersey', 'positive': '0.0', 'negative': '0.0'}, {'word': 'number', 'positive': '0.020833333333333332', 'negative': '0.0'}]",0.003472222222222222,positive
3,"⚽️Final⚽️
@NorwichCityFC 0-1 @OfficialBHAFC 
@LCFC 3-0 @CPFC 
@ManUtd 5-2 @afcbournemouth 
@Wolves 0-2 @Arsenal… https://t.co/f20hboFFBy",Final,['Final'],"[{'word': 'Final', 'positive': '0', 'negative': '0'}]",0.0,neutral
4,@itykay @Arsenal Pretend like you didn’t see were I congratulated him,Pretend like you didn’t see were I congratulated him,"['Pretend', 'like', 'you', 'didn’t', 'see', 'were', 'I', 'congratulated', 'him']","[{'word': 'Pretend', 'positive': '0', 'negative': '0'}, {'word': 'like', 'positive': '0.46875', 'negative': '0.0'}, {'word': 'you', 'positive': '0', 'negative': '0'}, {'word': 'didn’t', 'positive': '0', 'negative': '0'}, {'word': 'see', 'positive': '0.09722222222222222', 'negative': '0.0'}, {'word': 'were', 'positive': '0', 'negative': '0'}, {'word': 'I', 'positive': '0', 'negative': '0'}, {'word': 'congratulated', 'positive': '0', 'negative': '0'}, {'word': 'him', 'positive': '0', 'negative': '0'}]",0.0628858024691358,positive
5,"@Harj_Ajimal @RFFH Here you go bum, very common. Stop even obsesseing how arsenal pay for transfers, tragic fanbase… https://t.co/LHSRxLvwwC",Animal Here you go bum very common Stop even obsessing how arsenal pay for transfers tragic fanbase…,"['Animal', 'Here', 'you', 'go', 'bum', 'very', 'common', 'Stop', 'even', 'obsessing', 'how', 'arsenal', 'pay', 'for', 'transfers', 'tragic', 'fanbase…']","[{'word': 'Animal', 'positive': '0', 'negative': '0'}, {'word': 'Here', 'positive': '0', 'negative': '0'}, {'word': 'you', 'positive': '0', 'negative': '0'}, {'word': 'go', 'positive': '0.041666666666666664', 'negative': '0.0'}, {'word': 'bum', 'positive': '0', 'negative': '0'}, {'word': 'very', 'positive': '0.375', 'negative': '0.0'}, {'word': 'common', 'positive': '0.16666666666666666', 'negative': '0.25'}, {'word': 'Stop', 'positive': '0', 'negative': '0'}, {'word': 'even', 'positive': '0.225', 'negative': '0.075'}, {'word': 'obsessing', 'positive': '0', 'negative': '0'}, {'word': 'how', 'positive': '0', 'negative': '0'}, {'word': 'arsenal', 'positive': '0', 'negative': '0'}, {'word': 'pay', 'positive': '0.08333333333333333', 'negative': '0.041666666666666664'}, {'word': 'for', 'positive': '0', 'negative': '0'}, {'word': 'transfers', 'positive': '0', 'negative': '0'}, {'word': 'tragic', 'positive': '0.0', 'negative': '0.125'}, {'word': 'fanbase…', 'positive': '0', 'negative': '0'}]",0.023529411764705882,positive
6,@YC7__ @Arsenal We love you too,We love you too,"['We', 'love', 'you', 'too']","[{'word': 'We', 'positive': '0', 'negative': '0'}, {'word': 'love', 'positive': '0.4375', 'negative': '0.0'}, {'word': 'you', 'positive': '0', 'negative': '0'}, {'word': 'too', 'positive': '0', 'negative': '0'}]",0.109375,positive
7,Doubt he’d be interested in Napoli :/ or Arsenal as a matter of fact 😹 https://t.co/zTTCCoCiNB,Doubt he’d be interested in Napoli or Arsenal as a matter of fact ,"['Doubt', 'he’d', 'be', 'interested', 'in', 'Napoli', 'or', 'Arsenal', 'as', 'a', 'matter', 'of', 'fact']","[{'word': 'Doubt', 'positive': '0', 'negative': '0'}, {'word': 'he’d', 'positive': '0', 'negative': '0'}, {'word': 'be', 'positive': '0.041666666666666664', 'negative': '0.020833333333333332'}, {'word': 'interested', 'positive': '0.625', 'negative': '0.0'}, {'word': 'in', 'positive': '0.0', 'negative': '0.0'}, {'word': 'Napoli', 'positive': '0', 'negative': '0'}, {'word': 'or', 'positive': '0', 'negative': '0'}, {'word': 'Arsenal', 'positive': '0', 'negative': '0'}, {'word': 'as', 'positive': '0', 'negative': '0'}, {'word': 'a', 'positive': '0.1098598887481412', 'negative': '0.1470795836316571'}, {'word': 'matter', 'positive': '0.0', 'negative': '0.09375'}, {'word': 'of', 'positive': '0', 'negative': '0'}, {'word': 'fact', 'positive': '0.09375', 'negative': '0.0'}]",0.04681643372690903,positive
8,Congrats Pepe https://t.co/M0P8gPBZM4,Congrats Pipe,"['Congrats', 'Pipe']","[{'word': 'Congrats', 'positive': '0', 'negative': '0'}, {'word': 'Pipe', 'positive': '0', 'negative': '0'}]",0.0,neutral
9,@ltarsenal Stop it. Just stop. How many trophies have we won? How many top 4 finishes have there been since he arri… https://t.co/XiAUNRPNTP,Stop it Just stop How many trophies have we won How many top finishes have there been since he arri…,"['Stop', 'it', 'Just', 'stop', 'How', 'many', 'trophies', 'have', 'we', 'won', 'How', 'many', 'top', 'finishes', 'have', 'there', 'been', 'since', 'he', 'arri…']","[{'word': 'Stop', 'positive': '0', 'negative': '0'}, {'word': 'it', 'positive': '0', 'negative': '0'}, {'word': 'Just', 'positive': '0', 'negative': '0'}, {'word': 'stop', 'positive': '0.041666666666666664', 'negative': '0.0'}, {'word': 'How', 'positive': '0', 'negative': '0'}, {'word': 'many', 'positive': '0.0', 'negative': '0.0'}, {'word': 'trophies', 'positive': '0', 'negative': '0'}, {'word': 'have', 'positive': '0.0', 'negative': '0.25'}, {'word': 'we', 'positive': '0', 'negative': '0'}, {'word': 'won', 'positive': '0.0', 'negative': '0.625'}, {'word': 'How', 'positive': '0', 'negative': '0'}, {'word': 'many', 'positive': '0.0', 'negative': '0.0'}, {'word': 'top', 'positive': '0.015625', 'negative': '0.046875'}, {'word': 'finishes', 'positive': '0', 'negative': '0'}, {'word': 'have', 'positive': '0.0', 'negative': '0.25'}, {'word': 'there', 'positive': '0.0', 'negative': '0.0'}, {'word': 'been', 'positive': '0', 'negative': '0'}, {'word': 'since', 'positive': '0', 'negative': '0'}, {'word': 'he', 'positive': '0.0', 'negative': '0.0'}, {'word': 'arri…', 'positive': '0', 'negative': '0'}]",-0.05572916666666666,negative
10,"I enjoy soccer/futbol, But there are way to many red teams.
Arsenal, ManchesterU, LIverpool and Bayern Munchen. https://t.co/GyF4yfwyDP",I enjoy soccer futbol But there are way to many red teams Arsenal Manchester Liverpool and Bayer Munched,"['I', 'enjoy', 'soccer', 'futbol', 'But', 'there', 'are', 'way', 'to', 'many', 'red', 'teams', 'Arsenal', 'Manchester', 'Liverpool', 'and', 'Bayer', 'Munched']","[{'word': 'I', 'positive': '0', 'negative': '0'}, {'word': 'enjoy', 'positive': '0.5', 'negative': '0.0'}, {'word': 'soccer', 'positive': '0', 'negative': '0'}, {'word': 'futbol', 'positive': '0', 'negative': '0'}, {'word': 'But', 'positive': '0', 'negative': '0'}, {'word': 'there', 'positive': '0.0', 'negative': '0.0'}, {'word': 'are', 'positive': '0', 'negative': '0'}, {'word': 'way', 'positive': '0.017857142857142856', 'negative': '0.0'}, {'word': 'to', 'positive': '0', 'negative': '0'}, {'word': 'many', 'positive': '0.0', 'negative': '0.0'}, {'word': 'red', 'positive': '0', 'negative': '0'}, {'word': 'teams', 'positive': '0', 'negative': '0'}, {'word': 'Arsenal', 'positive': '0', 'negative': '0'}, {'word': 'Manchester', 'positive': '0', 'negative': '0'}, {'word': 'Liverpool', 'positive': '0', 'negative': '0'}, {'word': 'and', 'positive': '0', 'negative': '0'}, {'word': 'Bayer', 'positive': '0', 'negative': '0'}, {'word': 'Munched', 'positive': '0', 'negative': '0'}]",0.02876984126984127,positive
11,@ftblChrisTHFC @Arsenal Nincompoop!,Nincompoop,['Nincompoop'],"[{'word': 'Nincompoop', 'positive': '0', 'negative': '0'}]",0.0,neutral
